"","topic","numSim","w0","w1","w2","w3","w4","w5","w6","w7","w8","w9"
"1","with",4,"with","or","from","which","","","","","",""
"2","that",9,"that","which","not","also","this","it","however","panel_believes_that","but",""
"3","this",5,"this","that","it","not","also","","","","",""
"4","which",10,"which","that","also","not","only","with","but","wheat_based_maltodextrins","as","these"
"5","study",5,"study","double_blind","multi_centre","placebo_controlled_double_blind","randomised_placebo_controlled_double","","","","",""
"6","et_al",10,"et_al","genigeorgis","2001_tatem","meulemans_et_al","herczeg_et_al","rizkalla","quillet","1999","ribbens","boujard_et_al"
"7","these",10,"these","all","some","other","different","also","those","which","several","but"
"8","other",10,"other","including","these","some","different","those","e_g","all","both","have"
"9","considered",4,"considered","therefore","also","assessed","","","","","",""
"10","also",10,"also","not","only","but","which","that","it","have","however","some"
"11","only",10,"only","but","also","not","which","when","however","all","since","where"
"12","levels",4,"levels","level","concentrations","low","","","","","",""
"13","days",10,"days","weeks","an_adaptation_period","seven_days","one_month","post_farrowing","months","farrowing_until_weaning","lasted","period"
"14","there",4,"there","evidence","no","however","","","","","",""
"15","however",10,"however","although","but","moreover","furthermore","nevertheless","since","because","therefore","only"
"16","peer_review",10,"peer_review","methiocarb_appendix","rimsulfuron_appendix","trichlorfon_appendix","dimethenamid_appendix","oxydemetonmethyl_appendix","3dichloropropene_appendix","fenitrothion_appendix","trinexapac_appendix","metribuzin_appendix"
"17","effects",4,"effects","effect","adverse_effects","impact","","","","","",""
"18","high",6,"high","low","higher","minority_opinion_medium","lower","very_low","","","",""
"19","therefore",10,"therefore","thus","if","concluded_that","since","however","consequently","considered","further","possible"
"20","can_be",6,"can_be","should_be","cannot_be","has_been","could","being","","","",""
"21","different",10,"different","various","other","all","these","both","two","those","several","some"
"22","effect",4,"effect","effects","influence","impact","","","","","",""
"23","have",9,"have","also","have_been","has","other","some","but","only","these",""
"24","when",8,"when","if","only","where","also","without","they","generally","",""
"25","observed",4,"observed","seen","showed","muscarinic_receptor_density","","","","","",""
"26","during",4,"during","after","before","first","","","","","",""
"27","acute",4,"acute","chronic","long_term","short_term","","","","","",""
"28","water",10,"water","air","oxygen","seawater","temperature_salinity","atmosphere","flow_rate","evaporation","tanks","temperature"
"29","required",8,"required","needed","further","additional","appropriate","necessary","sufficient","need","",""
"30","could",8,"could","would","might","will","may","can","should","can_be","",""
